Unnamed: 0,host id,host name,borough,lat,long,price,service fee,number of reviews,geometry
15786,89624410357,Mark,Brooklyn,40.67828,-73.95051,394,79,1,POINT (-73.95050999999999 40.67828)
8491,74942975752,Dana,Manhattan,40.75055,-73.98679,387,77,19,POINT (-73.98679 40.75055)
65843,69955778827,Wilber,Brooklyn,40.70492,-73.92715,666,133,1,POINT (-73.92715 40.70492)
44756,45111039864,Gus,Manhattan,40.85078,-73.93195,1151,230,7,POINT (-73.93195 40.85078)
93186,9405419395,Chanhee,Manhattan,40.7975,-73.93556,175,35,61,POINT (-73.93556 40.7975)
21936,3679503214,Jackie,Brooklyn,40.68187,-73.94589,412,82,3,POINT (-73.94589000000001 40.68187)
17346,65875003776,Eduardo,Bronx,40.85859,-73.89571,945,189,9,POINT (-73.89570999999999 40.85859)
29971,38562958170,Dadrine,Brooklyn,40.65625,-73.91901,254,51,2,POINT (-73.91901 40.65625)
